source_id,source_url,source_host,source_kind,evidence_rows,people_count,accepted_rows,supporting_rows,candidate_rows,superseded_rows,rejected_rows,provenances,source_adapters
src-c3311adf79c7,http://www.linkedin.com/in/rassul,linkedin.com,linkedin,9,1,0,9,0,0,0,accepted_affiliation_history;accepted_location_evidence;manual_review,accepted_linkedin_profile;current_role_location;linkedin
src-12639f21bce4,https://25amosaic.ust.hk/giving/benefited-projects/aef-exchange-scholarships-and-bursaries-students,25amosaic.ust.hk,web_page,1,1,0,1,0,0,0,accepted_affiliation_history,institutional_profile
src-9f759e04b53a,https://academy.edufo.ru/%D0%B7%D0%B0%D0%B3%D1%80%D0%B8%D0%B1%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9-%D0%B1-%D0%B0/,academy.edufo.ru,web_page,1,1,1,0,0,0,0,manual_review,manual
src-ea15bc8392db,https://ae.linkedin.com/in/marat-shotanov,ae.linkedin.com,linkedin,6,1,1,5,0,0,0,accepted_affiliation_history;manual_review,accepted_linkedin_profile;linkedin;manual;manual_review
src-81f64cf96666,https://ae.linkedin.com/in/talgat-ismukhamedov-a7b77323,ae.linkedin.com,linkedin,9,1,1,8,0,0,0,accepted_affiliation_history;accepted_location_evidence;manual_review,accepted_linkedin_profile;active_affiliation_profile_location;linkedin;manual
src-52d9dede15eb,https://aerotc.kz/en/,aerotc.kz,web_page,2,1,1,1,0,0,0,accepted_affiliation_history;manual_review,manual;manual_review
src-124236445428,https://almaty.fizmat.kz/muzey/uchastniki-mezhdunarodnykh-olimpiad/,almaty.fizmat.kz,web_page,1,1,1,0,0,0,0,manual_review,manual
src-2e3245d9349a,https://almaty.fizmat.kz/news/rezultaty-50-oy-mezhdunarodnoy-khimiches/,almaty.fizmat.kz,web_page,1,1,1,0,0,0,0,manual_review,manual
src-26985711d018,https://almaty.fizmat.kz/ru/muzey/luchshie-uchitelya/,almaty.fizmat.kz,web_page,3,1,1,2,0,0,0,accepted_affiliation_history;accepted_location_evidence;manual_review,career_source_location;manual;manual_review
src-f236b4945420,https://almaty.fizmat.kz/ru/muzey/uchastniki-mezhdunarodnykh-olimpiad/,almaty.fizmat.kz,web_page,1,1,1,0,0,0,0,manual_review,manual
src-e4d79ad13ff6,https://almaty.fizmat.kz/ru/teachers/smaylov-b-b/,almaty.fizmat.kz,web_page,4,1,1,3,0,0,0,accepted_affiliation_history;manual_review,manual;manual_review;official_employer_biography
src-0a36a5b5c1cf,https://almaty.tv/news/obrazovanie-i-nauka/1703-almatinskie-shkolniki-zavoevali-medali-na-medgdunarodnoy-olimpiade,almaty.tv,web_page,1,1,1,0,0,0,0,manual_review,manual
src-45a624b9912f,https://app.qwoted.com/opportunities/event-12th-annual-summit-downstream-central-asia-and-caspian-2025,app.qwoted.com,web_page,2,1,1,1,0,0,0,accepted_affiliation_history;manual_review,manual;manual_review
src-d70b9e9e0ad7,https://apply.nu.edu.kz/,apply.nu.edu.kz,web_page,4,1,1,3,0,0,0,accepted_affiliation_history;manual_review,manual;manual_review;official_university_alumni_profile
src-564f97298a11,https://aqshamnews.kz/kz/article/almatynyn-daryndy-oqushylary-bedeldi-halyqaralyq-ziiatkerlik-olimpiadalarga-belsendi-qatysady.html,aqshamnews.kz,web_page,1,1,0,1,0,0,0,accepted_affiliation_history,reported_school_biography
src-00522c0b0993,https://ar2024.telecom.kz/en/board-of-directors.html,ar2024.telecom.kz,web_page,1,1,1,0,0,0,0,manual_review,manual
src-6f8a279ee993,https://arxiv.org/abs/2605.14136,arxiv.org,web_page,1,1,0,1,0,0,0,accepted_affiliation_history,publication_affiliation_note
src-cd1fac53fc4b,https://aspirantura.lebedev.ru/wp-content/uploads/2022/04/%D0%90%D1%80%D1%85%D0%A1%D0%BF%D0%B8%D1%81%D0%BE%D0%BA%D0%90%D1%81%D0%BF%D0%B8%D1%80_2018_4.pdf,aspirantura.lebedev.ru,pdf,2,1,1,1,0,0,0,accepted_affiliation_history;manual_review,manual;manual_review
src-7737326d3977,https://ast.repetitors.info/repetitor/olimpiady-po-fizike/,ast.repetitors.info,web_page,1,1,1,0,0,0,0,manual_review,manual
src-4a0e630a2504,https://at.linkedin.com/in/assylbek-olzhabayev-b8b94a190,at.linkedin.com,linkedin,7,1,1,6,0,0,0,accepted_affiliation_history;manual_review,accepted_linkedin_profile;linkedin;manual;manual_review
src-17be1eb03127,https://at.linkedin.com/in/zhanybek-alpichshev-41bb4b207,at.linkedin.com,linkedin,6,1,0,6,0,0,0,accepted_affiliation_history;manual_review,accepted_linkedin_profile;linkedin
src-09c1108e1f7b,https://au.linkedin.com/in/angsar-manatuly-7409bb2b9,au.linkedin.com,linkedin,2,1,1,1,0,0,0,accepted_affiliation_history;manual_review,manual;manual_review
src-84de7ee3d5ed,https://av.kaznu.kz/ru/25163,av.kaznu.kz,web_page,1,1,1,0,0,0,0,manual_review,manual
src-0f527014597e,https://ba.prg.kz/231010000-atyrau/071040017099-too-agp-kholding/,ba.prg.kz,web_page,2,1,1,1,0,0,0,accepted_affiliation_history;manual_review,manual;manual_review
src-0d673387bda4,https://ba.prg.kz/710000000-astana/221140001702-too-vacante/,ba.prg.kz,web_page,2,1,1,1,0,0,0,accepted_affiliation_history;manual_review,manual;manual_review
src-e394293e818c,https://ba.prg.kz/750000000-almaty/200340023883-too-quantum-management-company/,ba.prg.kz,web_page,2,1,1,1,0,0,0,accepted_affiliation_history;manual_review,manual;manual_review
src-4bcb9cd74810,https://ba.prg.kz/750000000-almaty/251240038235-too-prosper-payment-solutions/,ba.prg.kz,web_page,1,1,0,1,0,0,0,accepted_affiliation_history,official_company_registry
