olympiad,country,country_code,year,name,award,rank,score,person_url,source_url,source_type
IBO,Kazakhstan,KAZ,2026,Alikhan Ashirkhanov,Silver,,,,https://www.ibo-info.org/files/downloads/results-reports/results/IBO_2026_Individual_Results_Final.pdf,pdf
IBO,Kazakhstan,KAZ,2026,Sofya Zheltova,Silver,,,,https://www.ibo-info.org/files/downloads/results-reports/results/IBO_2026_Individual_Results_Final.pdf,pdf
IBO,Kazakhstan,KAZ,2026,Yersultan Kairken,Silver,,,,https://www.ibo-info.org/files/downloads/results-reports/results/IBO_2026_Individual_Results_Final.pdf,pdf
IBO,Kazakhstan,KAZ,2026,Yevgeniya Mezhenina,Bronze,,,,https://www.ibo-info.org/files/downloads/results-reports/results/IBO_2026_Individual_Results_Final.pdf,pdf
IBO,Kazakhstan,KAZ,2025,Aiganym Baltashova,Bronze,105,,,https://www.ibo-info.org/files/downloads/results-reports/results/IBO2025%20Ranking.pdf,pdf
IBO,Kazakhstan,KAZ,2025,Alikhan Ashirkhanov,Bronze,92,,,https://www.ibo-info.org/files/downloads/results-reports/results/IBO2025%20Ranking.pdf,pdf
IBO,Kazakhstan,KAZ,2025,Batyr Yerzhanuly,Bronze,109,,,https://www.ibo-info.org/files/downloads/results-reports/results/IBO2025%20Ranking.pdf,pdf
IBO,Kazakhstan,KAZ,2025,Yersultan Kairken,Bronze,100,,,https://www.ibo-info.org/files/downloads/results-reports/results/IBO2025%20Ranking.pdf,pdf
IBO,Kazakhstan,KAZ,2024,Amina Tynarbay,Bronze,125,104.3,,https://scoreboard.bc-pf.org/en/results/biology/international_biology_olympiad/2024,scoreboard
IBO,Kazakhstan,KAZ,2024,Baktybai Galymzhan,Bronze,90,110.869,,https://scoreboard.bc-pf.org/en/results/biology/international_biology_olympiad/2024,scoreboard
IBO,Kazakhstan,KAZ,2024,Dias Suleimenov,Bronze,97,109.417,,https://scoreboard.bc-pf.org/en/results/biology/international_biology_olympiad/2024,scoreboard
IBO,Kazakhstan,KAZ,2024,Nurtore Torekhanuly,Bronze,122,105.151,,https://scoreboard.bc-pf.org/en/results/biology/international_biology_olympiad/2024,scoreboard
IBO,Kazakhstan,KAZ,2023,Bakdaulet Yernazarov,Silver,88,111.207,,https://scoreboard.bc-pf.org/en/results/biology/international_biology_olympiad/2023,scoreboard
IBO,Kazakhstan,KAZ,2023,Galymzhan Baktybay,Bronze,176,96.816,,https://scoreboard.bc-pf.org/en/results/biology/international_biology_olympiad/2023,scoreboard
IBO,Kazakhstan,KAZ,2023,Islam Amangeldi,Bronze,143,101.753,,https://scoreboard.bc-pf.org/en/results/biology/international_biology_olympiad/2023,scoreboard
IBO,Kazakhstan,KAZ,2023,Omar Dinmukhammed,Silver,55,118.13,,https://scoreboard.bc-pf.org/en/results/biology/international_biology_olympiad/2023,scoreboard
IBO,Kazakhstan,KAZ,2022,Alikhan Zhumagaleyev,Silver,48,66.368,,https://scoreboard.bc-pf.org/en/results/biology/international_biology_olympiad/2022,scoreboard
IBO,Kazakhstan,KAZ,2022,Bakdaulet Yernazarov,Bronze,129,48.539,,https://scoreboard.bc-pf.org/en/results/biology/international_biology_olympiad/2022,scoreboard
IBO,Kazakhstan,KAZ,2022,Dinmukhammed Omar,Silver,72,60.124,,https://scoreboard.bc-pf.org/en/results/biology/international_biology_olympiad/2022,scoreboard
IBO,Kazakhstan,KAZ,2022,Yerassyl Temirbekov,Silver,45,67.482,,https://scoreboard.bc-pf.org/en/results/biology/international_biology_olympiad/2022,scoreboard
IBO,Kazakhstan,KAZ,2021,Bakdaulet Ernazarov,Bronze,91,0,,https://scoreboard.bc-pf.org/en/results/biology/international_biology_olympiad/2021,scoreboard
IBO,Kazakhstan,KAZ,2021,Guldana Abduali,Diploma,197,0,,https://scoreboard.bc-pf.org/en/results/biology/international_biology_olympiad/2021,scoreboard
IBO,Kazakhstan,KAZ,2021,Yerassyl Temirbekov,Silver,81,0,,https://scoreboard.bc-pf.org/en/results/biology/international_biology_olympiad/2021,scoreboard
IBO,Kazakhstan,KAZ,2021,Yernar Batyrzhanov,Bronze,141,0,,https://scoreboard.bc-pf.org/en/results/biology/international_biology_olympiad/2021,scoreboard
IBO,Kazakhstan,KAZ,2020,Adam Taimanov,Bronze,111,0,,https://scoreboard.bc-pf.org/en/results/biology/international_biology_olympiad/2020,scoreboard
IBO,Kazakhstan,KAZ,2020,Arman Bissembayev,Diploma,122,0,,https://scoreboard.bc-pf.org/en/results/biology/international_biology_olympiad/2020,scoreboard
IBO,Kazakhstan,KAZ,2020,Yerassyl Muratov,Diploma,126,0,,https://scoreboard.bc-pf.org/en/results/biology/international_biology_olympiad/2020,scoreboard
IBO,Kazakhstan,KAZ,2019,Adlet Turtemir,Bronze,105,106.44,,https://scoreboard.bc-pf.org/en/results/biology/international_biology_olympiad/2019,scoreboard
